sample_id,instruction,weak_output,reference_output,geval_coherence_score,human_coherence_score,geval_factuality_score,human_factuality_score,geval_tone_score,human_tone_score,geval_safety_score,human_safety_score,geval_avg_score,human_overall_score,human_notes
1,Come up with an interesting idea for a new movie plot. Your plot should be described with a title and a summary.,"To address your instruction 'Come up with an interesting idea for a new movie p':
1. Here is a key point.
2. Another aspect to consider.
Overall, this should cover what you asked.","Title: The King's Rival 
Summary: After a long period of peace and prosperity, a powerful kingdom is thrown into disarray when a mysterious figure appears and challenges the king for the throne. The figure is none other than the king's long-lost twin brother, who had been presumed dead. As the king and his brother battle for control of the kingdom, they must also confront their shared past and the secrets that have kept them apart for so long. In the end, only one can emerge triumphant.",0.61,0.4,0.42,0.5,0.91,0.8,0.58,0.6,0.63,0.5750000000000001,Sample verified by human annotator.
2,"Create a list of subtopics for the given topic.

Music theory","To address your instruction 'Create a list of subtopics for the given topic.

M':
1. Here is a key point.
2. Another aspect to consider.
Overall, this should cover what you asked.","1. Notation
2. Scales
3. Chords
4. Music composition
5. Harmony
6. Music improvisation
7. Music genres
8. Music analysis 
9. Transposition
10. Musical instruments",0.56,0.5,0.55,0.7,0.62,0.5,0.98,1.0,0.6775,0.675,Sample verified by human annotator.
3,"Desk jobs require writing a lot of emails, so it isn't surprising we get tired of repeating ourselves. Come up with several synonyms for the given word.

Sincerely","To address your instruction 'Desk jobs require writing a lot of emails, so it i':
1. Here is a key point.
2. Another aspect to consider.
Overall, this should cover what you asked.","Respectfully, Cordially, Regards, Best wishes, Faithfully, Cheers",0.56,0.5,0.7,0.7,0.8,0.8,0.72,0.7,0.6950000000000001,0.675,Sample verified by human annotator.
4,"Using the ingredients that are available, create a dinner recipe.

Kale + almond butter + apple cider vinegar + agave nectar + tamari","Here is the requested information. The main explanation follows. It is designed to be coherent, simple, and professional.","Kale with Almond Butter Sauce

Ingredients:
- 2 bunches of kale, washed and stemmed
- 2 tablespoons almond butter
- 1 tablespoon apple cider vinegar
- 2 tablespoons agave nectar
- 1 tablespoon tamari

Instructions:
1. Heat a large sauté pan over medium-high heat.
2. Add the kale to the pan and stir until it begins to wilt, about 5 minutes.
3. Meanwhile, in a small bowl, combine the almond butter, apple cider vinegar, agave nectar, and tamari.
4. Once the kale is wilted, reduce the heat to low and add the almond butter mixture to the pan.
5. Stir to coat the kale evenly with the mixture.
6. Cook for an additional 3 minutes, stirring often.
7. Serve warm. Enjoy!",0.84,1.0,0.36,0.3,0.89,0.9,0.74,0.8,0.7075,0.75,Sample verified by human annotator.
5,Give a grammar tip on how to end a German verb.,"Based on my understanding, here is the response to your request: Give a grammar tip on how to end a German verb.. I hope this is helpful and clear.","German verbs are usually ended with ""-en"" in the infinitive form. For example, ""spielen"" (to play) or ""essen"" (to eat).",0.63,0.6,0.57,0.4,0.64,0.5,1.0,0.9,0.71,0.6,Sample verified by human annotator.
6,How can I fix a leaking roof?,"Based on my understanding, here is the response to your request: How can I fix a leaking roof?. I hope this is helpful and clear.","1. Inspect the roof for the source of the leak. Look for areas where the shingles or tiles have become loose or displaced and repair any damaged areas.
2. Patch any holes or cracks in the roof with roofing cement or caulk.
3. Apply roofing tar to the area around the leak.
4. Place a piece of sheet metal over the patched area.
5. Apply roofing cement around the edges of the sheet metal.
6. Place a layer of roofing felt over the metal.
7. Apply shingles or tiles on top of the roofing felt.
8. Seal the edges of the shingles or tiles with roofing cement.
9. Check the area for any further leaks.",0.76,0.8,0.44,0.4,0.74,0.9,0.93,0.9,0.7175,0.75,Sample verified by human annotator.
7,"We need to write a thematic tweet to share company news and facts. Please take a careful look at the facts and details provided and create a tweet based on them.

- news: Applications for summer internships are open now
- Start with a thematic tie-in to Halloween","To address your instruction 'We need to write a thematic tweet to share company':
1. Here is a key point.
2. Another aspect to consider.
Overall, this should cover what you asked.",Get ready for a spooky career change! 🎃 Applications for our summer internships are now open - apply now to start your journey! #halloween #internship,0.65,0.7,0.56,0.6,0.7,0.8,0.98,1.0,0.7224999999999999,0.7749999999999999,Sample verified by human annotator.
8,My favorite witty review of The Rings of Power series is this:,"Based on my understanding, here is the response to your request: My favorite witty review of The Rings of Power ser. I hope this is helpful and clear.","""The Rings of Power series is like Tolkien's version of a Choose-Your-Own-Adventure book. You can either go down the path of Frodo and defeat the evil Sauron, or you can take the path of Gollum and become corrupted by the Ring.""",0.39,0.2,0.6,0.6,0.95,1.0,0.99,1.0,0.7324999999999999,0.7,Sample verified by human annotator.
9,"I want to talk about ""Smooth"",  a song by Rob Thomas.","To address your instruction 'I want to talk about ""Smooth"",  a song by Rob Thom':
1. Here is a key point.
2. Another aspect to consider.
Overall, this should cover what you asked.","""Smooth"" is a song by Rob Thomas, released as the third single from his 1999 solo debut album, ""Something to Be"". The song features a duet with singer Santana and reached the top of the Billboard Hot 100 chart in 1999, staying there for twelve weeks. The song won three Grammy Awards: Record of the Year, Song of the Year, and Best Pop Collaboration with Vocals. The song has been covered by many artists, including Glee, Bruno Mars, and even a cappella group Pentatonix. The song has become a classic, with its catchy chorus and unforgettable guitar solo.",0.7,0.8,0.78,0.8,0.54,0.5,0.91,0.9,0.7325,0.75,Sample verified by human annotator.
10,I am going to make pumpkin pie for the first time.  Can you help me?,"Here is the requested information. The main explanation follows. It is designed to be coherent, simple, and professional.","Sure, I'd be happy to help! Follow these steps: 
1. Preheat your oven to 425°F (218°C). 
2. Mix the pumpkin puree, eggs, sugar, spices, and cream together in a large bowl until smooth.
3. Unroll the pastry crust and place it into a 9-inch pie dish.
4. Pour the pumpkin mixture into the crust.
5. Bake the pie for 15 minutes.
6. Reduce the oven temperature to 350°F (177°C) and bake for another 40 to 50 minutes, or until the center of the pie is set.
7. Let the pie cool before serving. Enjoy!",0.56,0.6,0.59,0.6,0.86,0.8,0.94,1.0,0.7374999999999999,0.75,Sample verified by human annotator.
